Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Діючи заводи;Асфальтобетонний завод;Полтавська;NA;NA
Діючи заводи;Асфальтобетонний завод;Івано-Франківська;NA;NA
Діючи заводи;Асфальтобетонний завод;Львівська;NA;NA
Діючи заводи;Асфальтобетонний завод;Донецька;NA;NA
Діючи заводи;Асфальтобетонний завод;Львівська;NA;NA
Діючи заводи;Асфальтобетонний завод Marini;Дніпропетровська;NA;NA
Діючи заводи;Асфальтобетонний завод Marini;Дніпропетровська;NA;NA
Діючи заводи;Асфальтобетонний завод;Херсонська;NA;NA
Діючи заводи;Асфальтобетонний завод;Донецька;NA;NA
Діючи заводи;Асфальтобетонний завод;Львівська;100;NA
Діючи заводи;Асфальтобетонний завод;Сумська;NA;13
Діючи заводи;Асфальтобетонний завод;Закарпатська;NA;NA
Діючи заводи;Асфальтобетонний завод;Дніпропетровська;NA;NA
Діючи заводи;Асфальтобетонний завод;Харківська;NA;NA
Діючи заводи;Асфальтобетонний завод;Дніпропетровська;NA;NA
Діючи заводи;Асфальтобетонний завод;Кіровоградська;NA;NA
Діючи заводи;Асфальтобетонний завод;Вінницька;11;NA
Діючи заводи;Асфальтобетонний завод;Кіровоградська;NA;NA
Діючи заводи;Асфальтний завод;Закарпатська;NA;NA
Діючи заводи;Асфальтний завод;Одеська;100;26
Діючи заводи;Асфальтний завод;Закарпатська;NA;NA
Діючи заводи;Асфальтний завод;Черкаська;30;NA
Діючи заводи;Завод з виробництва тканини;Львівська;60;NA
Діючи заводи;Деревообробне підприємство;Львівська;NA;NA
Діючи заводи;Завод ДИМКОМ;Львівська;40;5
Діючи заводи;"Сирзавод ""Барком""";Львівська;NA;NA
Діючи заводи;"Завод з виготовлення електричних кабельних мереж компанії ""Електроконтакт Україна""";Львівська;2e3;960
Діючи заводи;Завод з виробництва ветеринарних препаратів і кормових добавок;Харківська;100;100
Діючи заводи;Винзавод;Одеська;12;NA
Діючи заводи;Насіннєвий завод;Волинська;12;NA
Діючи заводи;Насіннєвий завод;Херсонська;NA;NA
Діючи заводи;Завод з переробки меду;Черкаська;52;NA
Діючи заводи;Завод з переробки меду та продуктів бджільництва;Львівська;50;20
Діючи заводи;Завод з виробництва упаковок для дитячого харчування;Сумська;390;NA
Діючи заводи;Завод з розробки і виробництва нанодобрив;Херсонська;NA;NA
Діючи заводи;Алюмінієвий завод Global Extrusion;Київська;NA;NA
Діючи заводи;Сміттепереробний завод;Черкаська;20;NA
Діючи заводи;Сортувальна лінія ТПВ;Івано-Франківська;NA;12
Діючи заводи;Швейна фабрика;Херсонська;75;NA
Діючи заводи;Лінія по виготовленню паливних брикетів із соломи;Вінницька;NA;NA
Діючи заводи;Завод з виготовлення SMD-модулів Flylights Factory;Київ;NA;NA
Діючи заводи;Хлібзавод;Чернігівська;NA;96
Діючи заводи;Завод по виробництву хімічно чистих добрив;Херсонська;30;23
Діючи заводи;"Завод ""Термо-Пак""";Київська;NA;NA
Діючи заводи;Завод з виробництва будівельних виробів із бетону;Івано-Франківська;NA;NA
Діючи заводи;Кондитерський цех;Черкаська;200;NA
Діючи заводи;Швейна фабрика;Тернопільська;46;NA
Діючи заводи;"Швейна фабрика ""Мануфактура""";Тернопільська;70;NA
Діючи заводи;"Філія швейної фабрики ""ВіД""";Херсонська;100;0.4
Діючи заводи;"Філія швейної фабрики ""ВіД""";Херсонська;20;NA
Діючи заводи;"Філія швейної фабрики ""ВіД""";Миколаївська;NA;NA
Діючи заводи;"Філія швейної фабрики ""ВіД""";Херсонська;NA;NA
Діючи заводи;"Філія швейної фабрики ""Gregory Arber""";Миколаївська;NA;10
Діючи заводи;Завод із виробництва світлодіодних світильників;Львівська;NA;NA
Діючи заводи;Верстатобудівний завод;Черкаська;20;NA
Діючи заводи;Комбінат баранкових виробів;Черкаська;100;NA
Діючи заводи;Завод з виробництва комбікормів, молочна ферма, машинно-тракторний парк;Житомирська;NA;160
Діючи заводи;"Завод з виробництва органічних олій ""Укролія органік""";Полтавська;NA;NA
Діючи заводи;Завод з виробництва кабельної продукції;Вінницька;700;NA
Діючи заводи;Завод із дроблення каменю;Тернопільська;50;47
Діючи заводи;Завод з переробки насіння соняшнику;Кіровоградська;146;NA
Діючи заводи;Насіннєвий завод;Житомирська;NA;NA
Діючи заводи;Виробничий комплекс по переробці насіння соняшнику;Кіровоградська;20;2
Діючи заводи;Завод по переробці сої;Кіровоградська;200;80
Діючи заводи;Завод з виробництва хімічних реактивів;Черкаська;NA;NA
Діючи заводи;Маслоекстрактний цех по переробці насіння соняшнику;Кіровоградська;20;2
Діючи заводи;Олійноекстракційний завод по переробці сої;Кіровоградська;382;NA
Діючи заводи;Завод з виробництва будівельних матеріалів;Івано-Франківська;40;2080
Діючи заводи;Завод з виробництва будівельних матеріалів та душових модулів;Вінницька;10;2.88
Діючи заводи;Деревообробний комбінат;Житомирська;356;NA
Діючи заводи;Сирний завод;Харківська;NA;NA
Діючи заводи;Завод з виробництва вівсяних пластівців;Чернігівська;100;NA
Діючи заводи;Молокопереробний завод;Львівська;NA;NA
Діючи заводи;Горіховий центр;Черкаська;NA;10
Діючи заводи;Завод з переробки сміття;Закарпатська;80;NA
Діючи заводи;Фабрика із виробництва м'яких меблів;Львівська;NA;NA
Діючи заводи;Завод з виробництва паливних брикетів із соломи, лози та дерева;Одеська;NA;NA
Діючи заводи;Завод бджолярської продукції;Сумська;10;NA
Діючи заводи;Завод з виробництва дентальних імплантатів;Дніпропетровська;NA;NA
Діючи заводи;Бісквітний комплекс;Дніпропетровська;120;120
Діючи заводи;Завод з виробництва біоетанолу;Волинська;100;NA
Діючи заводи;Завод з виробництва запашних спиртовмісних речовин та оцту;Львівська;NA;NA
Діючи заводи;Завод з виробництва сонячних панелей;Запорізька;NA;NA
Діючи заводи;Ливарний завод;Запорізька;NA;38
Діючи заводи;Завод мінеральних добрив;Черкаська;NA;150
